Zeitstempel,PV-Leistung (kW),Netz-Leistung (kW),Batterie-Leistung (kW),Hausverbrauch (kW),Batterieladestand (%)
2025-04-30 12:24:40,3.056911376953125,1.8973,0.005120921611785889,1.048323046875,100.0
2025-04-30 12:24:50,3.0516888427734377,1.8867,0.0071799311637878414,1.0538185546874999,100.0
2025-04-30 12:25:00,3.03936181640625,1.8660999999999999,0.004933634281158447,1.062045751953125,100.0
2025-04-30 12:25:10,3.036434143066406,1.859,0.0074049062728881836,1.0665888671875,100.0
2025-04-30 12:25:21,3.036892578125,1.8352,0.005816044807434082,1.091165234375,100.0
2025-04-30 12:25:31,3.028909332275391,1.8625999999999998,0.006948951721191406,1.05525986328125,100.0
2025-04-30 12:25:41,3.0230493774414064,1.8446,0.0057191019058227535,1.068823095703125,100.0
2025-04-30 12:25:51,3.0113687744140627,1.8100999999999998,0.006348280906677246,1.0918785156250002,100.0
2025-04-30 12:26:01,3.0144089660644533,1.8505999999999998,0.005637604713439942,1.053409765625,100.0
2025-04-30 12:26:11,2.9940625,1.8203,0.007107149600982666,1.064477587890625,100.0
2025-04-30 12:26:21,2.9778963928222657,1.7065,0.005879772663116455,1.16267333984375,100.0
2025-04-30 12:26:31,2.960518310546875,1.6839000000000002,0.005794241905212403,1.167226220703125,100.0
2025-04-30 12:26:41,2.943335205078125,1.6693,0.006322771072387695,1.166116748046875,100.0
2025-04-30 12:26:51,2.9392393493652342,1.6613,0.0054571514129638675,1.1695330078125001,100.0
2025-04-30 12:27:01,2.9229559326171874,1.6538,0.0055409097671508785,1.1603328125,100.0
2025-04-30 12:27:12,2.9028659057617188,1.6298,0.005759922504425049,1.16485234375,100.0
2025-04-30 12:27:22,2.8749923706054688,1.5966,0.0053522768020629885,1.1704742187500001,100.0
2025-04-30 12:27:32,2.8518060302734374,1.5751,0.0060532913208007815,1.1708067382812501,100.0
2025-05-07 12:27:42,2.837965148925781,1.5675999999999999,0.004827563285827637,1.1645137695312502,100.0
2025-05-07 12:27:52,2.823415496826172,1.5429000000000002,0.005553704738616943,1.174190576171875,100.0
2025-05-07 12:28:02,2.820265380859375,1.5284,0.006777817249298095,1.185931298828125,100.0
2025-05-07 12:28:13,2.8159005126953125,1.5542,0.004720753192901612,1.155809033203125,100.0
2025-05-07 12:28:23,2.8154942626953123,1.5531,0.003677288293838501,1.1568067382812501,100.0
2025-05-07 12:28:33,2.8115433349609376,1.5402,0.004674302101135254,1.16566962890625,100.0
2025-05-07 12:28:43,2.810348876953125,1.5257,0.005361144542694092,1.17790400390625,100.0
2025-05-07 12:28:53,2.8036740112304686,1.5309000000000001,0.006384493827819825,1.1673651367187499,100.0
2025-05-07 12:29:03,2.801171600341797,1.5398,0.005544242858886719,1.15576494140625,100.0
2025-05-07 12:29:13,2.7978431091308593,1.4082000000000001,0.00521674633026123,1.2840744140625,100.0
2025-05-07 12:29:23,2.8043619079589845,1.4341,0.003963983297348023,1.2646485351562502,100.0
2025-05-07 12:29:33,2.8169020385742187,1.4396,0.006489107608795166,1.27152646484375,100.0
2025-05-07 12:29:43,2.8260564270019533,1.4519000000000002,0.00585897159576416,1.268337548828125,100.0
2025-05-07 12:29:54,2.837749816894531,1.4542,0.006313024520874023,1.2769728515624998,100.0
2025-05-07 12:30:04,2.8480658264160157,1.4797,0.005105945110321045,1.262284619140625,100.0
2025-05-07 12:30:14,2.865214630126953,1.505,0.007044137477874756,1.253198486328125,100.0
